1,1,0,8.49376,0.0173
2,0,0,12.0232,0.0252
2,1,1,14.7393,0.001
2,2,0,17.0354,0.0089
3,0,1,19.0633,0.0197
2,2,2,20.9028,0.0323
3,1,2,22.5983,0.0319
4,0,0,24.1814,0.0681
3,3,0,25.6727,0.0754
4,2,0,27.0871,0.0242
3,3,2,28.4363,0.0126
4,2,2,29.7293,0.001
4,3,1,30.9729,0.0444
5,2,1,33.3348,0.0938
4,4,0,34.4619,0.0155
5,0,3,35.5574,1
6,0,0,36.6243,0.2556
5,3,2,37.6655,0.9137
6,2,0,38.682,0.0388
5,1,4,39.6767,0.0601
6,2,2,40.6516,0.0085
6,3,1,41.6068,0.2523
4,4,4,42.5442,0
5,4,3,43.4657,0.1526
6,0,4,44.3724,0.3722
6,3,3,45.2632,0.0435
6,4,2,46.1412,0.0604
7,0,3,47.0073,0.0119
7,3,2,48.7027,0.0175
8,0,0,49.5331,0.0139
7,4,1,50.3546,0.0072
6,4,4,51.1661,0.0118
6,3,5,51.9687,0.0397
8,2,2,52.7624,0.085
8,3,1,53.5471,0.0244
6,6,2,54.3248,0.0002
7,5,2,55.0946,0.0224
8,4,0,55.8574,0.0043
9,0,1,56.6133,0.0082
8,4,2,57.3631,0.0029
9,2,1,58.106,0.0211
6,6,4,58.8438,0.0294
8,5,1,59.5747,0.0226
9,3,2,61.0225,0.0247
8,4,4,61.7384,0.0221
8,5,3,62.4492,0.1919
10,0,0,63.1561,0.03
10,1,1,63.8579,0.0246
8,6,2,64.5557,0.017
9,5,0,65.2494,0.0331
10,2,2,65.9402,0.0147
10,3,1,66.6268,0.1855
8,1,7,67.9891,0.0843
10,0,4,68.6647,0.0439
10,3,3,69.3381,0.0765
10,2,4,70.0086,0.0131
8,3,7,70.6759,0.0239
11,2,1,72.0025,0.0168
8,8,0,72.6617,0.0012
9,0,7,73.3198,0.0301
8,8,2,73.9738,0.0348
10,3,5,74.6267,0.0486
10,0,6,75.2776,0.0539
8,7,5,75.9263,0.0101
10,2,6,76.5739,0.0026
9,5,6,77.2185,0.0019
12,0,0,77.8629,0.0223
9,4,7,78.5043,0.0261
9,7,4,78.5043,0.0027
12,2,0,79.1455,0.0056
10,1,7,79.7846,0.0191
10,6,4,80.4226,0.1583
12,3,1,81.0594,0.0106
11,1,6,82.3298,0.0118
12,0,4,82.9632,0.0003
12,3,3,83.5955,0.0297
8,8,6,84.2277,0.0116
9,9,2,84.8597,0.0078
10,2,8,85.4905,0.0034
9,8,5,86.1202,0.0158
10,6,6,86.7497,0.0048
11,7,2,87.379,0.0178
12,4,4,88.0081,0.0008
12,5,3,88.637,0.024
10,8,4,89.2657,0.0047
11,5,6,89.8943,0.013
12,6,2,90.5226,0.001
11,4,7,91.1507,0.0247
10,9,3,92.4082,0.0145
8,8,8,93.0376,0.005
13,5,0,93.6668,0.0199
12,4,6,94.2966,0.0237
10,7,7,94.9273,0.0125
10,10,0,95.5586,0.0084
11,0,9,96.1906,0.0025
10,10,2,96.8234,0.024
14,3,1,97.4568,0.0328
12,0,8,98.0909,0.0142
13,5,4,98.7258,0.0084
14,0,4,99.3622,0.0318
13,3,6,100,0.0139
10,10,4,100.639,0.002
13,7,0,101.278,0.0217
13,7,2,102.564,0.017
12,8,4,103.208,0.0033
12,1,9,103.855,0.0046
10,8,8,104.503,0.002
13,5,6,105.153,0.0808
14,0,6,105.805,0.0025
15,0,3,106.459,0.0535
10,10,6,107.116,0.0838
15,3,2,107.774,0.0384
13,8,3,109.1,0.0164
12,8,6,109.765,0.0076
11,11,2,110.435,0.01
14,4,6,111.107,0.0135
13,9,0,111.782,0.0294
13,2,9,113.142,0.0191
16,0,0,113.828,0
11,11,4,114.517,0.0061
14,8,0,115.209,0.0014
15,6,1,115.906,0.0013
14,8,2,116.606,0.0042
13,9,4,117.312,0.0274
14,6,6,118.022,0.005
14,7,5,118.736,0.035
12,8,8,119.454,0.0053
16,3,3,120.179,0.0465
16,2,4,120.909,0.0173
11,11,6,121.644,0.0232
12,10,6,122.386,0.0113
